San Antonio Spurs,450,2008
Dallas Mavericks,450,2008
Phoenix Suns,500,2008
Cleveland Cavaliers,600,2008
Boston Celtics,1000,2008
Houston Rockets,1000,2008
Chicago Bulls,1000,2008
Detroit Pistons,1200,2008
Miami Heat,1200,2008
Utah Jazz,1500,2008
Denver Nuggets,1500,2008
Toronto Raptors,2000,2008
Golden State Warriors,2000,2008
Washington Wizards,2500,2008
New Jersey Nets,2500,2008
Los Angeles Lakers,3000,2008
Orlando Magic,4000,2008
Indiana Pacers,4000,2008
New Orleans Hornets,5000,2008
Los Angeles Clippers,5000,2008
Sacramento Kings,5000,2008
New York Knicks,6000,2008
Milwaukee Bucks,7500,2008
Seattle SuperSonics,7500,2008
Portland Trail Blazers,8000,2008
Atlanta Hawks,12500,2008
Charlotte Bobcats,12500,2008
Philadelphia 76ers,15000,2008
Minnesota Timberwolves,15000,2008
Memphis Grizzlies,20000,2008
Team,Title Odds,Year
